The number of nodes: 4038
The number of nodes: 4038
The number of nodes: 4038
The number of edges: 28992
The number of self-loop: 0
The in-degree and out-degree of nodes
Node 	 In-degree 	 Out-degree
2567326687 	 9 	 21
2942245404 	 2 	 1
348338919 	 33 	 22
2585458779 	 0 	 5
2916979844 	 4 	 9
624180964 	 10 	 0
2920871927 	 0 	 41
1973470783 	 0 	 10
35272731 	 17 	 32
2330912724 	 1 	 3
1936060656 	 3 	 3
3053556879 	 8 	 9
2898155236 	 0 	 1
2419704115 	 1 	 0
1094994919 	 1 	 1
2341800168 	 2 	 0
2255602605 	 0 	 1
114592176 	 1 	 1
1888538239 	 1 	 3
2848708305 	 5 	 9
2440076084 	 4 	 9
48065292 	 0 	 4
2922222453 	 0 	 8
48762145 	 0 	 2
2454573148 	 2 	 2
831840926 	 271 	 14
2981536708 	 13 	 20
192782446 	 1 	 10
1078719553 	 0 	 4
1242444086 	 35 	 8
135964180 	 20 	 69
135209978 	 3 	 23
27267518 	 4 	 5
153844388 	 1 	 2
1377398754 	 0 	 3
2360027234 	 2 	 1
499002616 	 9 	 1
1499403746 	 29 	 34
170876032 	 0 	 7
3115962976 	 2 	 0
2574789933 	 0 	 1
3000589905 	 1 	 1
1394865570 	 3 	 26
185056717 	 7 	 0
3008241467 	 37 	 0
1410895044 	 0 	 1
2402194795 	 0 	 12
2793207358 	 0 	 1
2259666512 	 0 	 1
2369838832 	 1 	 0
1731292771 	 0 	 1
2438463553 	 5 	 8
1226290447 	 1 	 1
1972218600 	 7 	 9
1045547113 	 0 	 2
843246134 	 8 	 10
3038556179 	 10 	 21
2774403531 	 17 	 27
2952117527 	 0 	 15
1697354906 	 3 	 1
2960716202 	 0 	 10
2888682471 	 17 	 4
2294951304 	 8 	 5
2981635974 	 301 	 297
3057915481 	 0 	 3
944095717 	 0 	 2
1167384414 	 1 	 2
1131544621 	 0 	 7
2867245461 	 15 	 0
1099439623 	 4 	 1
2995198588 	 18 	 49
3020775656 	 10 	 15
1612762249 	 14 	 18
2614408167 	 8 	 17
3082865183 	 1 	 5
890973288 	 1 	 1
760394310 	 227 	 0
2434215580 	 1 	 0
3082757708 	 6 	 5
362600644 	 0 	 1
913106383 	 66 	 0
2309336790 	 9 	 11
1468886311 	 4 	 76
2941504727 	 5 	 11
127648517 	 4 	 6
2765573903 	 189 	 232
1943875518 	 1 	 2
2913976101 	 0 	 3
2772816767 	 29 	 39
2686929092 	 21 	 28
1329117284 	 11 	 37
2538037752 	 5 	 19
2454699672 	 11 	 9
2882584129 	 55 	 108
186155207 	 3 	 2
995320604 	 5 	 10
2243977961 	 7 	 5
2594820642 	 5 	 0
1426616305 	 32 	 0
2511575586 	 17 	 31
2205540630 	 3 	 5
615449529 	 0 	 5
83601697 	 2 	 0
2900561003 	 75 	 96
907045382 	 2 	 11
867352153 	 7 	 21
528104233 	 16 	 21
3088190841 	 16 	 0
1413932856 	 4 	 4
1511201659 	 24 	 0
2616690716 	 2 	 1
2867869694 	 5 	 6
2556651022 	 1 	 13
33470306 	 6 	 14
2275412479 	 0 	 2
1320341174 	 0 	 2
387916880 	 1 	 20
1390836530 	 10 	 8
2996601080 	 0 	 2
2871277750 	 0 	 16
2427564702 	 9 	 0
777200318 	 202 	 212
3033967909 	 1 	 1
2787178275 	 7 	 3
130430907 	 2 	 9
1247389206 	 3 	 8
2593827415 	 16 	 13
2516850933 	 22 	 140
479034909 	 78 	 45
2889717267 	 5 	 8
241385513 	 1 	 9
2774113506 	 3 	 0
3044850504 	 1 	 0
2443523367 	 4 	 5
2515890871 	 3 	 1
3092569571 	 57 	 81
2973796576 	 1 	 0
712423225 	 25 	 55
1565362448 	 0 	 5
3011022675 	 1 	 2
2723026160 	 1 	 0
2848555743 	 4 	 13
3038360682 	 12 	 24
713353539 	 2 	 2
1541211558 	 1 	 0
2546476340 	 6 	 8
545075817 	 51 	 21
2508764293 	 3 	 3
52523472 	 5 	 1
3046985449 	 0 	 1
1338829147 	 0 	 4
446500690 	 2 	 2
2842468129 	 0 	 4
2358597443 	 14 	 21
2891441245 	 9 	 3
2488310533 	 0 	 1
2322524761 	 20 	 22
395845109 	 0 	 2
3054209155 	 4 	 5
138663266 	 54 	 87
1500284598 	 0 	 25
1686971364 	 63 	 91
1008706976 	 6 	 0
3037555714 	 65 	 30
1072386780 	 5 	 7
1473129146 	 0 	 1
2780512257 	 1 	 0
700841587 	 13 	 13
772624508 	 1 	 1
2607536108 	 32 	 78
1853317980 	 74 	 107
3023255718 	 6 	 28
2762402950 	 464 	 212
2959849246 	 5 	 20
7775542 	 55 	 69
587683302 	 0 	 9
496194023 	 5 	 51
2996259188 	 7 	 28
2619166669 	 3 	 4
2880375561 	 6 	 0
2740556393 	 1 	 0
2842079785 	 2 	 1
2958599709 	 15 	 0
69970162 	 25 	 1
17446525 	 0 	 4
2957095316 	 9 	 69
1164779191 	 3 	 2
772928647 	 5 	 15
2956901459 	 212 	 192
125441481 	 12 	 90
2978347262 	 17 	 11
393790948 	 0 	 6
711206017 	 0 	 2
368940233 	 6 	 12
2863585686 	 15 	 26
2891883116 	 3 	 16
17133444 	 4 	 24
2757496420 	 0 	 4
2997026727 	 1 	 1
1059183000 	 1 	 2
2719903720 	 0 	 1
954940014 	 2 	 30
2744058671 	 1 	 2
1858817893 	 2 	 12
1201232784 	 6 	 19
2684300421 	 3 	 14
244237521 	 8 	 17
560714853 	 0 	 11
2888892983 	 3 	 18
2834212701 	 4 	 1
2356889202 	 1 	 3
2935003145 	 2 	 2
19405774 	 12 	 0
1115208852 	 0 	 2
2940116620 	 2 	 1
1431505633 	 8 	 7
636361985 	 1 	 12
1895455093 	 34 	 49
3053649606 	 3 	 5
865075694 	 86 	 52
2718809621 	 0 	 7
1671412549 	 5 	 26
3104824389 	 4 	 8
2757433121 	 8 	 0
1376729941 	 0 	 2
2435585468 	 16 	 46
2971721831 	 0 	 1
2927453554 	 1 	 6
468465063 	 0 	 90
2377692914 	 413 	 267
785968226 	 25 	 16
2993463249 	 1 	 2
392850936 	 0 	 2
2950589589 	 10 	 8
91409460 	 9 	 8
2619345784 	 185 	 0
2937060923 	 1 	 1
1881003902 	 0 	 1
1005019958 	 313 	 308
28093339 	 3 	 3
320346780 	 58 	 119
3020346872 	 3 	 0
17792871 	 7 	 0
1463782273 	 0 	 5
2919028645 	 1 	 2
598834740 	 0 	 61
630334313 	 3 	 1
173955306 	 60 	 97
328092666 	 0 	 1
3045559810 	 22 	 9
2580912856 	 0 	 1
2670222367 	 237 	 60
1726639776 	 0 	 13
3084079288 	 5 	 3
358453591 	 0 	 2
2915944173 	 82 	 71
386790602 	 14 	 38
2752274655 	 0 	 2
2934352713 	 1 	 3
3009850459 	 0 	 1
2980554856 	 1 	 0
2287739683 	 1 	 5
601964207 	 4 	 8
1692004315 	 409 	 238
574533527 	 6 	 27
3029151545 	 9 	 10
709755568 	 9 	 18
2324306619 	 19 	 0
1126132572 	 8 	 6
1646102719 	 1 	 0
2529256320 	 0 	 1
1686553166 	 3 	 6
599501072 	 1 	 1
2584872850 	 73 	 36
846960362 	 9 	 0
2895013596 	 19 	 20
3071346263 	 2 	 4
2339680500 	 0 	 1
1317551240 	 30 	 49
3124489851 	 4 	 10
708088992 	 9 	 14
2925092136 	 2 	 5
2984480687 	 7 	 6
2625959752 	 5 	 6
2651765658 	 7 	 10
1674753672 	 2 	 2
544059435 	 59 	 51
128321908 	 223 	 96
2767352923 	 37 	 22
2898867599 	 7 	 12
2745927437 	 100 	 66
298031274 	 4 	 8
2196548557 	 1 	 1
431338636 	 6 	 31
2869956136 	 1 	 3
915668126 	 261 	 310
105454770 	 1 	 0
537194703 	 23 	 25
1455892946 	 12 	 0
852369529 	 11 	 7
3091550128 	 3 	 12
942925560 	 3 	 9
2556153951 	 0 	 2
1260418842 	 8 	 13
3044311823 	 18 	 15
2445712264 	 81 	 149
2275237666 	 38 	 46
2896722495 	 37 	 78
2211011073 	 13 	 26
280514005 	 0 	 5
1840869632 	 30 	 45
2726964856 	 9 	 14
1318470781 	 9 	 7
774040921 	 5 	 9
3078782464 	 0 	 6
2272173246 	 0 	 1
2903618757 	 16 	 33
2282776783 	 1 	 0
202642499 	 10 	 33
2568296067 	 1 	 1
2810399290 	 13 	 12
2879884035 	 36 	 76
3026609308 	 15 	 97
1292453646 	 0 	 6
2896138714 	 61 	 58
2363008071 	 9 	 0
589341373 	 265 	 99
1049665681 	 16 	 105
2871995585 	 3 	 3
2382568416 	 1 	 0
230238838 	 0 	 79
2935961104 	 2 	 2
2776060083 	 0 	 11
1977157908 	 0 	 2
2536449172 	 1 	 0
2722395898 	 7 	 9
2893965616 	 1 	 1
486073610 	 80 	 55
2832285090 	 0 	 4
2839446221 	 291 	 294
2869430664 	 2 	 4
1571736818 	 6 	 7
1322259654 	 0 	 1
2811892259 	 6 	 11
885727274 	 1 	 0
2306942389 	 4 	 4
3003020278 	 1 	 1
1676625792 	 0 	 1
2284408772 	 21 	 0
1106979248 	 0 	 2
961852904 	 75 	 4
834965803 	 0 	 1
2736022587 	 7 	 13
3108671443 	 6 	 10
1315139484 	 0 	 1
449191378 	 0 	 2
725492370 	 2 	 0
2719210637 	 2 	 8
2196647034 	 36 	 82
2514271717 	 0 	 1
3038027478 	 1 	 1
3098003831 	 77 	 127
2546461995 	 9 	 26
2547463878 	 2 	 13
613475055 	 5 	 0
3108482842 	 2 	 0
856235250 	 1 	 6
2908293855 	 10 	 2
969095208 	 1 	 0
2515224569 	 0 	 1
114148161 	 0 	 1
2727206500 	 1 	 1
1914454154 	 1 	 0
3044818767 	 0 	 3
3034921139 	 0 	 5
428372761 	 19 	 9
14221588 	 721 	 50
3041752617 	 0 	 1
3024648801 	 0 	 1
1410450493 	 1 	 27
2984748547 	 6 	 6
222409989 	 4 	 10
2450321204 	 10 	 9
2880317624 	 2 	 6
2680674001 	 94 	 46
19028476 	 93 	 7
1467789518 	 14 	 8
2157667283 	 105 	 5
31624328 	 134 	 27
448282180 	 1 	 6
2926254102 	 0 	 11
3052619157 	 1 	 0
2764733077 	 11 	 13
2390919775 	 1 	 9
550847623 	 1 	 0
898626824 	 1 	 1
2502311508 	 2 	 3
2281342585 	 4 	 5
2517465179 	 21 	 18
745180039 	 47 	 17
3044064122 	 275 	 349
2969343892 	 6 	 41
2364855890 	 6 	 2
