The number of nodes: 3513
The number of nodes: 3513
The number of nodes: 3513
The number of edges: 17227
The number of self-loop: 0
The in-degree and out-degree of nodes
Node 	 In-degree 	 Out-degree
2567326687 	 2 	 12
348338919 	 12 	 2
632418591 	 2 	 0
2585458779 	 0 	 4
1747573494 	 0 	 1
624180964 	 0 	 1
412538263 	 0 	 5
2574789933 	 0 	 1
2239061306 	 0 	 1
35272731 	 16 	 25
529789032 	 0 	 1
975284562 	 0 	 2
2818945482 	 0 	 1
3053556879 	 3 	 8
1094994919 	 0 	 4
1673319876 	 0 	 1
114592176 	 0 	 5
600657541 	 5 	 19
2440076084 	 0 	 4
3028302445 	 1 	 3
48762145 	 0 	 1
831840926 	 136 	 8
2981536708 	 1 	 5
192782446 	 0 	 3
122097290 	 0 	 1
1078719553 	 0 	 2
1242444086 	 7 	 3
3035288194 	 9 	 11
135209978 	 1 	 122
27267518 	 2 	 16
1377398754 	 0 	 2
499002616 	 13 	 80
19405774 	 19 	 0
2230654320 	 0 	 1
501171492 	 1 	 10
2605477201 	 0 	 3
185056717 	 6 	 1
3008241467 	 2 	 0
2554560854 	 0 	 2
1319203380 	 5 	 2
2438463553 	 0 	 1
843246134 	 0 	 2
3038556179 	 6 	 4
2166510162 	 1 	 0
1697354906 	 3 	 8
2960716202 	 0 	 1
2888682471 	 12 	 5
3086868114 	 0 	 1
2294951304 	 59 	 27
2981635974 	 53 	 45
2979201065 	 5 	 0
944095717 	 0 	 2
1167384414 	 1 	 0
2867245461 	 1 	 0
1099439623 	 2 	 0
455569571 	 39 	 0
3020775656 	 0 	 3
1612762249 	 1 	 4
2614408167 	 0 	 5
3082865183 	 0 	 1
890973288 	 2 	 1
760394310 	 18 	 0
2924615670 	 1 	 0
3054401041 	 1 	 0
1853083740 	 0 	 2
362600644 	 0 	 3
913106383 	 17 	 0
2309336790 	 5 	 1
2250861852 	 5 	 20
2941504727 	 0 	 2
127648517 	 0 	 6
1021243860 	 0 	 2
1943875518 	 0 	 31
1107245461 	 0 	 9
2772816767 	 7 	 4
2686929092 	 0 	 4
1329117284 	 3 	 30
2538037752 	 1 	 2
479034909 	 9 	 9
2882584129 	 16 	 90
1097261840 	 0 	 3
995320604 	 0 	 3
2342502464 	 0 	 2
103044583 	 0 	 1
2594820642 	 12 	 33
135553566 	 12 	 3
2818668985 	 4 	 6
2205540630 	 0 	 6
615449529 	 0 	 1
19881665 	 1 	 0
2900561003 	 11 	 13
2956922327 	 0 	 2
867352153 	 1 	 13
528104233 	 33 	 114
3088190841 	 1 	 0
1413932856 	 0 	 1
1511201659 	 4 	 0
223702385 	 0 	 1
2961342400 	 1 	 0
33470306 	 34 	 85
2925200269 	 9 	 0
2303806101 	 1 	 2
970183279 	 1 	 3
1390836530 	 17 	 9
2871277750 	 10 	 10
3031338512 	 114 	 0
777200318 	 35 	 7
2787178275 	 10 	 3
2593827415 	 2 	 10
2290064037 	 0 	 1
2352867032 	 0 	 4
96123615 	 7 	 0
2889717267 	 3 	 0
1850048894 	 2 	 4
2774113506 	 1 	 0
2443523367 	 1 	 1
2515890871 	 4 	 2
3092569571 	 13 	 15
2848708305 	 1 	 0
712423225 	 3 	 1
2873036937 	 5 	 0
1449754903 	 0 	 4
2797040149 	 0 	 1
2305831380 	 0 	 2
713353539 	 0 	 1
46508855 	 113 	 88
1263610592 	 16 	 35
545075817 	 60 	 59
2508764293 	 1 	 1
1210448972 	 0 	 1
1338829147 	 0 	 4
446500690 	 1 	 3
2674273364 	 0 	 4
2358597443 	 0 	 2
3065410263 	 8 	 0
2940526043 	 0 	 1
2322524761 	 7 	 31
2715333104 	 8 	 0
219787196 	 0 	 1
138663266 	 221 	 465
1420739767 	 2 	 0
1686971364 	 28 	 10
1008706976 	 3 	 0
3037555714 	 1 	 0
1072386780 	 1 	 25
700841587 	 2 	 8
772624508 	 10 	 79
2607536108 	 9 	 18
1853317980 	 25 	 46
3023255718 	 4 	 7
2762402950 	 54 	 33
2959849246 	 1 	 0
7775542 	 22 	 44
2561943207 	 1 	 0
587683302 	 0 	 1
1957392475 	 0 	 6
496194023 	 0 	 10
544226942 	 0 	 8
1083554514 	 8 	 4
2880375561 	 2 	 0
1628509404 	 0 	 3
2842079785 	 1 	 0
2958599709 	 1 	 0
69970162 	 56 	 107
2957095316 	 1 	 8
3020543105 	 1 	 0
135964180 	 0 	 13
2956901459 	 59 	 73
125441481 	 1 	 15
2978347262 	 4 	 0
393790948 	 0 	 1
711206017 	 0 	 2
368940233 	 2 	 2
97263296 	 40 	 12
1240922288 	 0 	 1
2891883116 	 11 	 43
582751383 	 1 	 0
2757496420 	 0 	 77
1059183000 	 0 	 1
954940014 	 0 	 8
2744058671 	 0 	 11
435751098 	 1 	 0
1405190394 	 2 	 0
278968450 	 5 	 30
244237521 	 1261 	 8
81645502 	 0 	 1
2888892983 	 0 	 2
2834212701 	 0 	 2
1499403746 	 4 	 2
2885307757 	 0 	 1
1115208852 	 1 	 0
2940116620 	 0 	 5
1431505633 	 1 	 0
1127197028 	 4 	 4
1895455093 	 7 	 26
3053649606 	 0 	 5
865075694 	 3 	 4
2718809621 	 0 	 3
63722246 	 0 	 2
575613287 	 0 	 4
713475560 	 0 	 1
2435585468 	 57 	 76
2971721831 	 0 	 2
2927453554 	 1 	 0
2795213598 	 0 	 1
1315079006 	 1 	 1
785968226 	 5 	 0
3009850459 	 1 	 2
2950589589 	 6 	 2
91409460 	 1 	 0
2619345784 	 23 	 0
2937060923 	 0 	 4
1881003902 	 1 	 0
1005019958 	 21 	 12
285356012 	 0 	 1
320346780 	 9 	 28
3020346872 	 0 	 1
17792871 	 1 	 3
1081135525 	 0 	 2
598834740 	 0 	 74
173955306 	 308 	 239
2955892593 	 2 	 0
3045559810 	 13 	 5
110191605 	 0 	 1
2670222367 	 386 	 84
1726639776 	 0 	 10
2227612753 	 1 	 2
358453591 	 0 	 1
2915944173 	 3 	 4
386790602 	 2 	 3
2911885096 	 0 	 3
108154439 	 0 	 1
2957643993 	 0 	 2
1157363378 	 7 	 3
2287739683 	 1 	 0
601964207 	 1 	 0
1692004315 	 80 	 81
574533527 	 1 	 5
3029151545 	 1 	 0
709755568 	 1 	 8
2179035822 	 2 	 0
1126132572 	 1 	 1
2529256320 	 1 	 0
1686553166 	 0 	 1
599501072 	 0 	 1
2584872850 	 26 	 0
846960362 	 18 	 5
2895013596 	 1 	 2
1428907604 	 0 	 17
2339680500 	 0 	 1
422917241 	 0 	 11
3124489851 	 0 	 2
708088992 	 0 	 2
2925092136 	 0 	 2
2984480687 	 0 	 1
2651765658 	 2 	 8
1674753672 	 0 	 1
544059435 	 2 	 4
128321908 	 284 	 683
90949762 	 12 	 87
2898867599 	 6 	 74
2745927437 	 23 	 9
298031274 	 1 	 0
431338636 	 0 	 1
289617959 	 0 	 5
915668126 	 36 	 49
537194703 	 71 	 49
3001638483 	 4 	 0
1455892946 	 3 	 0
852369529 	 5 	 61
3091550128 	 0 	 3
1463782273 	 0 	 7
2556153951 	 0 	 2
