id0,id1,relationship,count
2895013596,2807490858,reply-to,11
2764709561,535436903,reply-to,1
1268428160,482095157,mentioned,1
2539426612,1685756005,reply-to,1
456439564,2747144492,reply-to,2
61650284,1885094101,reply-to,1
2904020714,2924870174,reply-to,2
1599087102,1087002326,reply-to,1
376275278,2314033626,mentioned,4
2425988252,2861018188,reply-to,1
349322419,24959879,reply-to,2
2934384572,3081161019,mentioned,1
726964724,809938064,reply-to,2
232444717,838205125,reply-to,2
3042749944,3025789584,mentioned,2
2269456136,27816566,reply-to,1
2900561003,832193689,mentioned,1
2299894347,2853754570,mentioned,2
2543630830,1413761539,reply-to,3
501971028,173955306,mentioned,1
1965508399,244237521,mentioned,2
559981785,902174090,reply-to,3
2355323753,429191811,reply-to,4
1373627030,809551405,mentioned,7
1390836530,2613684390,reply-to,1
459895588,2856199634,reply-to,1
204346522,34449129,mentioned,1
2362477976,976849022,reply-to,8
2893999868,21752467,mentioned,1
48304438,1155862230,reply-to,2
2796884009,2198647110,reply-to,1
2300746824,2882836510,mentioned,1
3005288667,2951925615,mentioned,1
3042091006,25311240,mentioned,10
3048364917,2869896284,mentioned,1
1350874850,1598741904,mentioned,1
30015139,1493702257,mentioned,1
2786430847,2562586518,mentioned,1
14976640,19862538,reply-to,7
867352153,961347372,reply-to,3
2765678787,2654747130,reply-to,2
462483794,47926059,mentioned,1
960891114,1087002326,mentioned,1
2747091471,3069545230,reply-to,2
2989026548,2856063795,reply-to,3
2246442263,831840926,reply-to,23
2613151204,1087002326,reply-to,1
123649804,173955306,reply-to,1
69970162,897509594,mentioned,5
2326323615,873722743,mentioned,2
2992448810,2227097804,reply-to,1
1893310921,2548897788,reply-to,1
809551405,1062111559,reply-to,1
1075421527,540668662,mentioned,18
266568356,995727528,reply-to,2
3053957882,1289879593,reply-to,1
2724612664,2353280685,reply-to,1
2539426612,2324753882,reply-to,1
2176769392,1087002326,mentioned,1
1541250805,1337194476,reply-to,1
28805729,2398588146,mentioned,3
2999589333,1197339265,reply-to,3
2576957810,16857836,mentioned,3
320154349,59615041,reply-to,23
2166253636,2243886443,mentioned,1
24722494,115117283,mentioned,1
386988166,573178253,reply-to,5
411652759,28491592,reply-to,1
783000162,55087927,reply-to,2
2783333595,1337194476,mentioned,2
2845921043,2690892266,mentioned,1
2951458906,531838343,mentioned,1
2731386749,535436903,reply-to,1
831819066,2923217609,reply-to,2
1075421527,636119841,reply-to,1
2182281049,2778247103,mentioned,1
711452401,38076933,reply-to,1
88696740,25311240,mentioned,21
2957466316,2888167623,reply-to,1
2416878060,2924870174,reply-to,2
213037272,14221588,reply-to,1
233068578,2613684390,reply-to,1
2258733919,2206844066,reply-to,2
2377617583,368539204,reply-to,9
94458238,202472599,mentioned,1
2615278179,2951925615,mentioned,6
2257430548,253012343,mentioned,1
2861018188,3054095910,reply-to,1
2654747130,2605327618,reply-to,1
2332261381,2921983029,reply-to,1
1493702257,482095157,mentioned,1
2970000766,128321908,mentioned,1
3009903571,2902992522,mentioned,1
2336580843,1460771370,reply-to,1
1261650936,1346394896,mentioned,1
528104233,158461099,mentioned,1
556280482,1217286588,reply-to,1
2558487041,3070520465,mentioned,1
2261054200,2468269830,reply-to,1
2252234982,961787250,reply-to,2
2362477976,1598801928,reply-to,9
2548897788,393887721,mentioned,2
614280017,2341284986,reply-to,1
3041296181,1452813307,reply-to,1
138663266,21395879,mentioned,124
2747144492,2745927437,reply-to,4
38076933,1075421527,reply-to,1
3109258052,3044774329,reply-to,7
2380360494,3025464477,mentioned,1
1685756005,2910221723,reply-to,5
1682421781,1025588635,reply-to,1
602112899,622090858,reply-to,1
2782470592,97198239,mentioned,1
1490566874,46438405,mentioned,1
41109816,572103841,mentioned,1
61650284,34449129,mentioned,8
482095157,38076933,mentioned,9
38076933,173955306,reply-to,1
2970923751,2961453587,reply-to,17
2911556529,21700435,reply-to,2
1598801928,2265058604,reply-to,1
717205588,2942487587,mentioned,2
2942487587,204346522,mentioned,1
3028424862,2355655372,mentioned,1
2872752779,2444571134,reply-to,1
2517465179,2865761030,reply-to,1
2913204921,2882836510,reply-to,13
1596556783,2162142216,reply-to,1
2811892259,2584491666,mentioned,1
2617880745,2606885751,reply-to,2
977560339,2949717879,reply-to,1
16857836,1493702257,mentioned,14
2416878060,531838343,reply-to,1
21395879,1061561653,mentioned,1
946875966,2566146384,mentioned,1
2553364668,2416878060,reply-to,1
3002429217,2973766671,reply-to,1
777200318,1682421781,reply-to,1
2992082472,2961453587,reply-to,1
2924368089,2746283171,reply-to,1
2898867599,2733576793,mentioned,6
2416453640,2492448252,mentioned,1
1895875501,2764733077,reply-to,1
1039856160,1401079176,reply-to,40
785968226,954861487,reply-to,1
47926059,866548200,reply-to,1
1425777469,348338919,reply-to,1
2987935606,2945569220,reply-to,2
19730434,2294951304,mentioned,1
636549518,222216222,reply-to,8
44144329,540668662,reply-to,9
2914784997,1127197028,reply-to,8
2757359025,2413179710,reply-to,1
2886140039,2754672875,reply-to,2
2937715124,34449129,mentioned,6
2416878060,996552967,reply-to,2
1060558130,992698340,reply-to,3
1120980493,1200173359,reply-to,3
1436149489,1687476871,mentioned,1
764262036,1222881480,mentioned,1
2973619809,2972423823,reply-to,2
344115535,1216456543,mentioned,2
2645545330,2879198265,reply-to,1
2996259188,2495608604,reply-to,1
1452813307,920231154,mentioned,1
1487362622,150290471,reply-to,1
479250666,873722743,reply-to,16
2607536108,2645545330,mentioned,1
2731386749,2615278179,reply-to,1
1682421781,2615278179,mentioned,1
3005288667,3039474676,reply-to,1
3092569571,3072100415,reply-to,1
2691808545,1895455093,reply-to,1
1618953558,2566146384,reply-to,1
2631755571,2274301016,reply-to,8
2341284986,597104420,mentioned,1
174161365,115117283,mentioned,20
2995198588,2736022587,reply-to,6
2865761030,2606885751,reply-to,2
222216222,2606885751,reply-to,2
3102510248,2450678771,reply-to,2
3012714053,3026567187,mentioned,1
823776600,482095157,mentioned,1
116355157,258094996,reply-to,34
2747144492,2786424729,reply-to,4
2566146384,2882836510,mentioned,9
2576323691,2654747130,reply-to,1
905312215,1148981760,reply-to,2
496703327,2351718736,reply-to,2
1060558130,2362477976,reply-to,1
2747091471,2914625362,reply-to,2
